outlet,date,headline,url,article_text
NDTV,01/01/24,"पंजाब: पीएचडी और चार मास्टर डिग्री, फिर भी घर चलाने के लिए बेचनी पड़ रही सब्जियां",https://ndtv.in/india/punjab-phd-and-four-masters-degree-still-have-to-sell-vegetables-to-make-ends-meet-4777299,"पंजाब (Punjab) में एक शख्स को पीएचडी और चार मास्टर डिग्रियों के बावजूद अपना घर चलाने के लिए सब्जियां बेचनी पड़ रही है. 39 साल के डॉ. संदीप सिंह पटियाला की पंजाबी यूनिवर्सिटी में संविदा प्रोफेसर थे. हालांकि उन्हें नौकरी छोड़नी पड़ी और पैसे कमाने के लिए सब्जियां बेचना शुरू करना पड़ा. डॉ. संदीप सिंह 11 वर्षों तक पंजाबी यूनिवर्सिटी के लॉ विभाग में संविदा प्रोफेसर थे. उन्होंने लॉ में पीएचडी की है, इसके साथ ही पंजाबी, पत्रकारिता और राजनीति विज्ञान सहित चार मास्टर डिग्री हासिल की है और अभी भी पढ़ाई कर रहे हैं.

डॉ. संदीप सिंह ने वेतन कटौती और अनियमित वेतन जैसी बाधाओं का सामना करने के बाद अपनी नौकरी छोड़ दी.

उन्होंने कहा, ‘मुझे नौकरी छोड़नी पड़ी क्योंकि मुझे समय पर वेतन नहीं मिलता था और अक्सर वेतन में कटौती होती थी. मेरे लिए उस नौकरी से गुजारा करना मुश्किल हो गया था. इसलिए मैंने अपने और अपने परिवार के जीवनयापन के लिए सब्जियां बेचना शुरू किया.‘

अपनी सब्जी की गाड़ी और उस पर लगे बोर्ड ‘पीएचडी सब्जी वाला‘ के साथ डॉ. संदीप सिंह रोजाना घर-घर जाकर सब्जियां बेचते हैं. उनका कहना है कि वह प्रोफेसर की तुलना में सब्जियां बेचकर ज्यादा पैसा कमाते हैं. पूरे दिन काम करने के बाद वह वापस घर आते हैं और अपने एग्जाम के लिए पढ़ाई करते हैं.

भले ही डॉ. संदीप सिंह ने पढ़ाने से ब्रेक ले लिया है, लेकिन उन्होंने अपना जुनून नहीं छोड़ा है. वह पैसे बचाना चाहते हैं और एक दिन अपना खुद का ट्यूशन सेंटर खोलना चाहते हैं.

ये भी पढ़ें :

* 2023 में पंजाब में 100 से अधिक ड्रोन गिराए गए, गोला-बारूद, ड्रग्स बरामद किए

* देश में 5.33 करोड़ घरों को अभी भी 'नल से जल' का इंतजार, तीन राज्यों में हालात सबसे खराब : आरटीआई

* पंजाब की ""रिजेक्टेड कैटेगरी"" की झांकी भारत पर्व पर भी प्रदर्शित नहीं की जाएगी : भगवंत मान"
NDTV,01/01/24,"Painful Surgeries, Passing Notes: How Israel Siblings Survived Hamas Captivity",https://www.ndtv.com/world-news/painful-surgeries-passing-notes-how-israel-siblings-survived-hamas-captivity-4777328,"Israeli Maya Regev lay badly wounded in a nondescript house in Gaza, her leg mangled from a gunshot, under orders not to make a sound.

The 21-year-old begged her captors to let her younger brother Itay, who was being held in a room nearby, join her while the bandages on her leg were replaced.

It was days after Hamas Islamists rampaged through southern Israel in a killing and hostage-taking spree on Oct. 7 that triggered the war in Gaza. The siblings were shot and wounded as they tried to flee an outdoor music festival turned killing field. They were thrown into a pickup and taken away with their friend, Omer Shem Tov.

""Itay and Omer walk in. And they began removing the bandages. And I'm screaming and Omer is holding my hand and covering my mouth,"" a tearful Maya recalled during an interview with Uvda, a current-affairs programme on Israel's Channel 12 TV.

Itay, 18, told how days earlier a ""scared and sweaty doctor"" painfully removed the bullet from his leg without anaesthesia, while he was instructed to remain quiet or be killed.

Maya's injury was more severe and she says she was eventually snuck into a Gaza hospital. Her dangling foot was re-attached in surgery, but sideways, at an unnatural angle. She gave her interview in a wheelchair, her leg in a cast.

The Regev siblings were among more than 100 hostages freed in a week-long ceasefire in late November. Shem Tov remains in captivity with nearly 130 others. Some have been declared dead in absentia by Israeli authorities.

While being treated in the hospital, Maya said she was kept near another wounded Israeli hostage, Guy Iluz. The two spoke about returning home - what they would do, what they would eat. But Iluz died in the hospital.

""At first I refused to believe. Before they took him away I said I have to see, like, that it's really him. I have the duty to go speak to his family when this is over. I'm the only person who knew what really happened to him.""

Itay said that he and Omer in the meantime were taken to a different house, forced to dress as Muslim women so they wouldn't be recognized as they walked in the dark of night.

From the hospital Maya wrote her brother and Omer a note and asked it be delivered. She said she argued with her captors, demanding that she hear back.

Itay received it.

""They came one time with a note, a note from Maya, in which she wrote me where she is, what she is going through. She said she loves me, asked me to stay strong, for the family, for everyone,"" he said.

He sent a response.

""They brought me a note that they (Itay and Omer) wrote me, and I knew it was really from them because I recognized the handwriting and my brother called me by my nickname,"" Maya said.

Itay calls his sister patcha.

""It was a light, a small light in all the darkness, that I hear from my little brother and from Omer, that I understand they are ok.""

They continued corresponding.

""Those notes gave so much strength, like in the small moment that I feel a bit like I am diving into bad thoughts, I just held Maya's note, read it like ten times, and it would give me strength,"" Itay said.

Since the brief ceasefire, Israel has pushed ahead with its devastating campaign in Gaza, saying that military pressure is needed to free the remaining hostages.

Israel's air and artillery bombardment has killed more than 21,800 people according to health authorities in Hamas-run Gaza, with many more feared dead in the rubble, and pushed nearly all its 2.3 million people from their homes. Qatari and Egyptian mediators have been trying to broker a deal that would include a pause in the fighting and the release of more hostages.

Itay was separated from his friend, only to find out later he had been included in the list of hostages to be freed.

""If I had known I was going home, I can tell you that probably I wouldn't agree to leave without Omer,"" he said.

Their story is not over yet, he added. ""Even though Maya and I are home, Omer is still there.""

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
NDTV,01/01/24,Expelled BJP Leader Arrested For Allegedly Raping Minor In Uttarakhand,https://www.ndtv.com/india-news/expelled-bjp-leader-arrested-for-allegedly-raping-minor-in-uttarakhand-4777414,"Expelled BJP leader Kamal Rawat was arrested on Sunday for allegedly raping a minor girl here, police said.

Police officer Yogesh Upadhyay said Rawat was arrested from Champawat late in the evening and he will be produced in a court Monday.

The Congress burnt the effigy of the BJP government over the issue.

The police had registered a case against Rawat under the Protection of Children from Sexual Offences Act and relevant sections of the Indian Penal Code.

The victim underwent a medical examination on Saturday but her statement could not be recorded in the court.

The BJP's Champawat District President Nirmal Mehra said Rawat has been expelled from the party.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
NDTV,01/01/24,"WELCOME 2024: नए साल का देश और दुनिया में जोरदार स्वागत, जश्न में डूबे लोग",https://ndtv.in/india/new-year-2024-new-year-celebration-in-the-country-and-the-world-people-celebrating-in-their-own-way-4777419,"New Year Celebration: नववर्ष 2024 (New Year 2024) का स्वागत उत्साह और उमंग के साथ किया गया. इस मौके पर देश और दुनिया में जश्न का माहौल है. देश में जैसे ही रात के 12 बजे लोगों ने एक दूसरे को नए साल की शुभकामनाएं दी और जमकर सेलिब्रेशन देखने को मिला. देश के हर हिस्से में लोगों ने अपने-अपने तरीके से नए साल का स्वागत किया. बहुत से लोगों ने नए साल का जश्न मनाने के लिए पर्यटन स्थलों का रुख किया तो कई लोगों ने नए साल के जश्न को अपने शहर में रहकर ही सेलिब्रेट किया. कई शहरों में नए साल का जश्न आतिशबाजी कर मनाया गया तो कई जगहों पर लोग नववर्ष के मौके पर मंदिरों में भी पहुंचे.

कर्नाटक के बेंगलुरु में लोग सड़क पर ही डांस करते नजर आए. यहां की एमजी रोड पर लोगों ने जमकर नए साल का स्वागत किया.

#WATCH | Karnataka: People celebrate the New Year at Bengaluru's MG Road pic.twitter.com/dQTJoQkl0o — ANI (@ANI) December 31, 2023

वहीं ओडिशा के भुवनेश्वर में नए साल का स्वागत आतिशबाजी से किया गया. यहां पर जमकर आतिशबाजी ने हर किसी का मन मोह लिया.

#WATCH | Fireworks in Odisha's Bhubaneswar to welcome the New Year 2024 pic.twitter.com/GkbPfHLtr3 — ANI (@ANI) December 31, 2023

उत्तर प्रदेश के विभिन्न शहरों में भी नए साल का जश्न मनाने के लिए लोग अलग-अलग जगहों पर एकत्रित हुए. लखनऊ के हजरतगंज में लोगों ने नए साल का जश्न मनाया. यहां पर लोग नए साल के स्वागत में जमकर डांस करते नजर आए.

#WATCH | Uttar Pradesh: A large number of people gathered at Lucknow's Hazratganj to welcome the New Year 2024 pic.twitter.com/ptHN0Tm2gE — ANI (@ANI) December 31, 2023

वहीं उत्तर प्रदेश के नोएडा में भी लोगों ने अपने अंदाज में नए साल का स्वागत किया.

#WATCH | People celebrate the beginning of the New Year in Uttar Pradesh's Noida pic.twitter.com/f0BUmiOrpJ — ANI (@ANI) December 31, 2023

तेज संगीत और डांस के साथ नए साल का स्वागत करने वालों से अलग बहुत से लोग थे ऐसे भी थे जिन्होंने नए साल का स्वागत मंदिरों में आरती के साथ किया. दिल्ली के झंडेवालान मंदिर में नववर्ष की आरती में भाग लेने के लिए बड़ी संख्या में लोग उमड़े.

#WATCH | Delhi: Hundreds of devotees welcome the new year by participating in the New Year's aarti at Jhandewalan Devi Temple https://t.co/iPbigtn2Lw pic.twitter.com/AyHhkoE7gb — ANI (@ANI) December 31, 2023

नववर्ष के मौके पर पुलिस भी मुस्तैद नजर आई. दिल्ली में लोगों के नववर्ष मनाने के दौरान कड़ी सुरक्षा व्यवस्था की गई.

#WATCH | Delhi: Security heightened in the National Capital as people celebrate the beginning of the New Year.



(Visuals from Hauz Khas village) pic.twitter.com/6NvnRUqrOe — ANI (@ANI) December 31, 2023

ये भी पढ़ें :

* राष्ट्रपति द्रौपदी मुर्मू का देशवासियों से आग्रह- नववर्ष पर एक समृद्ध राष्ट्र के निर्माण का संकल्प लें

* मथुरा में नववर्ष पर लाखों श्रद्धालुओं के आने की उम्मीद, वृन्दावन में बाहरी वाहन प्रतिबंधित रहेंगे

* नए साल के जश्‍न के दौरान कानून व्यवस्था को लेकर मुंबई पुलिस चौकस, 11 हजार से ज्‍यादा जवान होंगे तैनात"
NDTV,01/01/24,Police Arrest 3 More Over Alleged German Cologne Cathedral Attack Plot,https://www.ndtv.com/world-news/police-arrest-3-more-over-alleged-german-cologne-cathedral-attack-plot-4777528,"Police on Sunday detained three further suspects in an alleged Islamist plot to attack Germany's famed Cologne Cathedral on New Year's Eve, authorities said.

The alleged attackers had planned to use a car to attack the 800-year-old Gothic edifice by the Rhine river, Cologne police director Frank Wissbaum told a news conference.

The method of the planned attack was unclear, but an underground car park below the cathedral had been searched with explosives sniffer dogs overnight, he told reporters.

""The three people are now securely in custody, which we are very glad about since they can no longer communicate with each other,"" he said.

Wissbaum said investigators had found evidence late on Saturday that linked the three to a 30-year-old Tajik man with alleged ties to the Islamic State militant movement, who has been in custody since Dec. 24.

Federal authorities were continuing their investigation into what he termed a ""network of individuals"" from Central Asia with links to several German states and European countries.

No details were given on the identity or background of the people now in custody.

The suspects were detained in the western cities of Duisburg, Herne and Noervenich, police said, and communications devices were seized during searches of their apartments.

Security has been stepped up in and around the cathedral ahead of a New Year's Eve service. Police warned the public not to be concerned if they saw officers carrying machine guns and body armour.

Thousands of extra police are also patrolling in Berlin, where celebrations last year were overshadowed by violent clashes, with revelers barracking first responders attempting to reach the sick.

Police in the capital are also on guard after a pro-Palestinian solidarity demonstration scheduled for midnight was banned. Many Muslims in Germany are unhappy with the support shown for Tel Aviv in its war against Hamas.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)"
NDTV,01/01/24,"बिहार:  नीतीश कुमार ने अपनी संपत्ति का दिया विवरण, इन मंत्रियों ने भी की घोषणा",https://ndtv.in/india/bihar-nitish-kumar-gave-details-of-his-assets-these-ministers-also-declared-4777638,"बिहार सरकार (Bihar Government) की वेबसाइट पर अपलोड किए गए संपत्ति के ताजा विवरण के मुताबिक मुख्यमंत्री नीतीश कुमार (Nitish Kumar) 1.64 करोड़ रुपये की चल और अचल संपत्ति के मालिक हैं. बिहार सरकार की वेबसाइट पर 31 दिसंबर को अपलोड किए गए मुख्यमंत्री और उनके कैबिनेट सहयोगियों की संपत्ति के विवरण के अनुसार, नीतीश के पास 22,552 रुपये नकद हैं और विभिन्न बैंकों में लगभग 49,202 रुपये जमा हैं. नीतीश कुमार सरकार द्वारा सभी कैबिनेट मंत्रियों के लिए प्रत्येक कैलेंडर वर्ष के आखिरी दिन अपनी संपत्ति और देनदारियों का खुलासा करना अनिवार्य कर दिया गया है. ताजा खुलासे के मुताबिक कई मंत्री मुख्यमंत्री से भी ज्यादा अमीर हैं.

कैबिनेट सचिवालय विभाग की वेबसाइट पर मुख्यमंत्री द्वारा किए गए खुलासे के अनुसार, नीतीश के पास 16.84 लाख रुपये की चल संपत्ति है जबकि उनके पास 1.48 करोड़ रुपये की अचल संपत्ति है.

मुख्यमंत्री के पास नई दिल्ली के द्वारका में एक सहकारी आवास सोसायटी में केवल एक आवासीय फ्लैट है.

खुलासे के मुताबिक बिहार के उपमुख्यमंत्री तेजस्वी प्रसाद यादव के पास 50,000 रुपये नकद हैं, जबकि उनकी पत्नी राजश्री के पास एक लाख रुपये नकद हैं. उपमुख्यमंत्री के बड़े भाई तेजप्रताप यादव के पास 98,562 रुपये नकद हैं. तेजप्रताप के पास करीब 3.58 करोड़ रुपये की चल-अचल संपत्ति भी है.

इसके अलावा जिन अन्य मंत्रियों ने अपनी संपत्ति की घोषणा की है, उनमें सुमित कुमार सिंह (विज्ञान, प्रौद्योगिकी और तकनीकी शिक्षा विभाग), सुनील कुमार (मद्य निषेध, उत्पाद शुल्क और पंजीकरण विभाग), अनीता देवी (पिछड़ा वर्ग और अत्यंत पिछड़ा वर्ग कल्याण विभाग), जितेन्द्र कुमार राय (कला, संस्कृति एवं युवा विभाग), रत्नेश सादा (एससी/एसटी कल्याण विभाग), जयंत राज (लघु जल संसाधन विभाग), जमा खान (अल्पसंख्यक कल्याण विभाग), मुरारी प्रसाद गौतम (पंचायती राज), शमीम अहमद ( विधि विभाग), शाहनवाज (आपदा प्रबंधन), संजय कुमार झा (जल संसाधन विभाग), शीला कुमारी (परिवहन विभाग), कुमार सर्वजीत (कृषि), मदन सहनी (समाज कल्याण) आदि शामिल हैं.

ये भी पढ़ें :

* बिहार : जेडीयू अध्यक्ष बनने के बाद पटना पहुंचे नीतीश कुमार का जोरदार स्वागत

* बिहार में शिक्षक भर्ती में गड़बड़ी! नवनियुक्त एक लाख से अधिक शिक्षकों का फिर से होगा सत्यापन

* नीतीश ने क्‍यों संभाली JDU की कमान, ललन से बड़ी पहचान या INDIA गठबंधन से डीलिंग आसान?"
NDTV,01/01/24,"अयोध्या नगरी सहिष्णु, सभी परिस्थितियों में मेहमानों का स्वागत करती है: इकबाल अंसारी",https://ndtv.in/india/ayodhya-city-tolerant-welcomes-guests-in-all-circumstances-iqbal-ansari-4777674,"अयोध्या (Ayodhya) में राम जन्मभूमि पर बने रहे भव्य मंदिर में रामलला के ‘प्राण प्रतिष्ठा' समारोह से तीन सप्ताह पहले रामजन्मभूमि-बाबरी मस्जिद मामले के मुख्य पक्षकार इकबाल अंसारी ने रविवार को कहा कि अयोध्या नगरी सहिष्णु है और सभी स्थितियों में मेहमानों का स्वागत करती है. बाईस जनवरी को ‘प्राण प्रतिष्ठा' समारोह के अवसर पर एक लाख से अधिक भक्तों के इस शहर में आने की उम्मीद है. सूत्रों के अनुसार, आमंत्रित सूची में भारत और विदेश से लगभग 7,000 मेहमान हैं.

अंसारी ने यहां अपने आवास पर एक साक्षात्कार में बताया कि मुस्लिम समुदाय राम मंदिर मुद्दे पर उच्चतम न्यायालय के 2019 के फैसले का सम्मान करता है.

एक सदी से भी अधिक पुराने इस विवाद का निस्तारण करते हुए, शीर्ष अदालत ने एक ऐतिहासिक फैसले में अयोध्या में विवादित स्थल पर एक न्यास द्वारा राम मंदिर के निर्माण का फैसला दिया और मुस्लिम पक्ष को मस्जिद के लिए पांच एकड़ भूमि आवंटित करने को कहा.

प्रधानमंत्री नरेंद्र मोदी ने पांच अगस्त, 2020 को अयोध्या में ‘भूमिपूजन' किया था और ‘प्राण प्रतिष्ठा' से करीब एक महीने पहले, उन्होंने शनिवार को शहर का दौरा किया. इस दौरान उन्होंने एक रोड शो किया किया और पुनर्विकसित अयोध्या धाम रेलवे स्टेशन और नवनिर्मित हवाई अड्डा का उद्घाटन किया.

मोदी का काफिला जब राम पथ से गुजरा तब साधु-संतों के साथ-साथ कई आम लोगों ने पुष्पवर्षा की जिनमें अंसारी भी शामिल थे.

अंसारी ने कहा, ‘‘ये हमारी परंपरा है. हम अपने शहर में आने वाले मेहमानों का स्वागत करते हैं.''

अंसारी का साधारण घर राम पथ के पास कोटिया पंजीटोला में स्थित है. मुख्य दरवाजे के बाहर दीवार पर एक पुराना हरे रंग का बोर्ड लगा हुआ है, जिस पर उनका उल्लेख ‘मुद्दई बाबरी मस्जिद' के रूप में किया गया है.

उन्होंने कहा, ‘‘मैं वहां उस सड़क के मोड़ पर खड़ा था जो हमारे पड़ोस की ओर जाती है, और जैसे ही उनका (प्रधानमंत्री का) काफिला गुजरा, मैंने शहर में उनका स्वागत करने के लिए फूल की पंखुड़ियों की वर्षा की.''

उनके द्वारा पुष्प वर्षा किये जाने का वीडियो वायरल हो गया, जिसने दोनों समुदायों के कई लोगों को हतप्रभ कर दिया.

अंसारी ने कहा, ‘‘इस देश में कई तरह के लोग हैं. गलत मानसिकता रखने वाले लोग (मैंने जो किया उसके लिए) मेरी आलोचना कर सकते हैं. वह हमारे देश के प्रधानमंत्री हैं और वह अयोध्या आये थे. मेहमानों का स्वागत करना हमारा कर्तव्य है और मैंने वही किया.''

उन्होंने कहा, ‘‘यह हमारी परंपरा है. अयोध्या एक धार्मिक नगरी है. यहां हर धर्म और जाति के लोग अपनी आस्था का पालन करते हैं. बाहर से आने वाला हर व्यक्ति हमारा मेहमान है. हम हर परिस्थिति में उनका स्वागत करेंगे.''

अंसारी से जब पूछा गया कि क्या उन्हें प्राण प्रतिष्ठा समारोह के लिए आमंत्रण मिला है तो उन्होंने दबे स्वर में कहा, ‘‘नहीं, मुझे नहीं मिला.''

जब पूछा गया कि अयोध्या के मुस्लिम ‘प्राण प्रतिष्ठा' को कैसे देखते हैं तो अंसारी ने कहा कि इस पवित्र शहर में मुस्लिम समुदाय प्राण प्रतिष्ठा समारोह के बारे में ‘‘कुछ भी नहीं सोच रहा है''.

उन्होंने कहा, ‘‘यह अयोध्या है. बहुत लोग आयेंगे, अच्छा है, आकर दर्शन करेंगे, पूजा करेंगे. मेलों में लोग आते हैं, अयोध्या सहिष्णु है.''

अंसारी ने कहा, ‘‘मुसलमान ज्यादा राजनीति नहीं करते. इसलिए मुस्लिम समुदाय के लोग इस बारे में कुछ नहीं सोच रहे हैं. वे वहीं हैं, जहां वे थे.''

उन्होंने कहा, ‘‘लाखों लोग आ रहे हैं, वे पूजा और दर्शन करेंगे...जैसे वे कुंभ मेले (प्रयागराज में) में करते हैं. वीवीआईपी आएंगे, बड़े उद्योगपति आएंगे, भक्त आएंगे, कोई मुद्दा नहीं है. अच्छे लोग आएंगे और सरकार की ओर से व्यवस्था होगी.''

उन्होंने कहा कि वह अपने समुदाय की ओर से नहीं बोल सकते, लेकिन ‘‘यह उनकी निजी राय है.''

अंसारी के पिता हाशिम अंसारी अपने निधन तक अयोध्या मामले में मुख्य वादियों में से एक थे. उनका निधन 2016 में करीब 94 साल की उम्र में हुआ था.

अंसारी के अतिथि कक्ष में दीवार के एक तरफ ब्रिटिश लाइब्रेरी के सौजन्य से 1900 की शुरुआत की खींची गई बाबरी मस्जिद की श्याम-श्वेत तस्वीर लगी है, जबकि दूसरी ओर उनके दिवंगत पिता और मस्जिद की छवियों वाला एक पोस्टर लटका हुआ है.

मुद्दा ‘व्यावहारिक रूप से समाप्त' हो गया : अंसारी

उनका मानना है कि यह विवादास्पद मुद्दा 30 साल पहले ‘व्यावहारिक रूप से समाप्त' हो गया था, जब 16वीं सदी में बने विवादित ढांचे को गिरा दिया गया था. छह दिसंबर, 1992 को देश के विभिन्न हिस्सों से अयोध्या में जमा हुए कारसेवकों की उग्र भीड़ ने विवादित ढांचे को गिरा दिया था, जिसके बाद देश के कई हिस्सों में सांप्रदायिक दंगे भड़क गए थे.

ये भी पढ़ें :

* राम मंदिर निर्माण के लिए दान के नाम पर QR कोड के जरिए ठगी, VHP ने किया सावधान

* जिस भव्यता से प्रधानमंत्री का स्वागत हुआ, वह नए भारत की नयी अयोध्या का दर्शन कराता है: सीएम योगी

* राम मंदिर प्राण प्रतिष्ठा समारोह के लिए निमंत्रण अभी नहीं मिला: उद्धव ठाकरे"
NDTV,01/01/24,उत्तराखंड में बाहरी व्यक्तियों के कृषि एवं उद्यान के लिए जमीन खरीदने पर अंतरिम रोक,https://ndtv.in/india/uttarakhand-interim-ban-on-outsiders-purchasing-land-for-agriculture-and-gardening-4777702,"उत्तराखंड (Uttarakhand) में राज्य से बाहरी व्यक्तियों के कृषि एवं उद्यान के उद्देश्य से जमीन खरीदने पर अंतरिम रोक लगा दी गयी है. मुख्यमंत्री पुष्कर सिंह धामी (Pusjhkar Singh Dhami) की अध्यक्षता में यहां रविवार देर शाम एक उच्चस्तरीय बैठक में यह निर्णय लिया गया. यहां जारी एक सरकारी विज्ञप्ति में कहा गया,‘‘मुख्यमंत्री के निर्देश पर प्रदेशहित और जनहित में निर्णय लिया गया है कि भू-कानून समिति की आख्या प्रस्तुत किये जाने तक या अग्रिम आदेशों तक जिलाधिकारी राज्य से बाहर के व्यक्तियों को कृषि एवं उद्यान के उद्देश्य से जमीन खरीदने के प्रस्ताव में अनुमति नहीं देंगे.''

इससे पूर्व भी मुख्यमंत्री ने प्रदेश में भूमि क्रय से पूर्व ख़रीददार की पृष्ठभूमि के सत्यापन के उपरांत ही उसे इसकी अनुमति देने के निर्देश दिए थे.

रविवार की बैठक में मुख्यमंत्री ने अधिकारियों को निर्देश दिए कि भू-कानून के लिए बनाई गई समिति द्वारा बड़े पैमाने पर जन सुनवाई की जाए और विभिन्न क्षेत्रों से जुड़े लोगों और विशेषज्ञों की राय ली जाय.

उत्तर प्रदेश जमींदारी एवं भूमि व्यवस्था अधिनियम 1950 की धारा 154 में 2004 में किए गए संशोधन के अनुसार ऐसे व्यक्ति, जो उत्तराखंड में 12 सितंबर 2003 से पूर्व अचल संपत्ति के धारक नहीं हैं, को कृषि एवं औद्यानिकी के उद्देश्य से भूमि क्रय करने की जिलाधिकारी द्वारा अनुमति प्रदान किए जाने का प्रावधान है.

वर्तमान में उत्तराखंड के लिए नया भू- कानून तैयार करने के लिए राज्य सरकार द्वारा प्रारूप समिति गठित की गई है.

तेजी से मसौदा बनाने के निर्देश देते हुए मुख्यमंत्री ने कहा कि राज्य सरकार द्वारा सभी निर्णय प्रदेश के हित में लिए जा रहे है और राज्य की जनभावनाओं के अनुरूप राज्यहित में जो सर्वाेपरि होगा, सरकार द्वारा उस दिशा में निरंतर कार्य किए जायेंगे.

उत्तराखंड सरकार का यह निर्णय ऐसे समय में आया है जब कड़े भू-कानून तथा मूल निवास के मुददे को लेकर प्रदेश भर में लोग आंदोलन कर रहे हैं तथा इस संबंध में 1950 को कट आफ तारीख माने जाने की मांग कर रहे हैं.

ये भी पढ़ें :

* समान नागरिक संहिता जल्द उत्तराखंड में लागू की जाएगी: उत्तराखंड CM

* उत्तराखंड: चंपावत में BJP नेता पर नाबालिग से दुष्कर्म का आरोप, मामला दर्ज

* रणदीप हुड्डा ने बाघिन के लिए उत्तराखंड के CM से मांगी मदद, पोस्ट शेयर कर बोले- जल्द से जल्द करें कार्रवाई"
NDTV,01/01/24,पश्चिम बंगाल: माओवादी गतिविधियों से संबंधित मामलों में वांछित व्यक्ति बीरभूम में गिरफ्तार,https://ndtv.in/india/west-bengal-man-wanted-in-cases-related-to-maoist-activities-arrested-in-birbhum-4777753,"पश्चिम बंगाल (West Bengal) के बीरभूम जिले में माओवादी गतिविधियों से संबंधित मामलों में वांछित एक व्यक्ति को रविवार को गिरफ्तार किया गया. अधिकारियों ने यह जानकारी दी. अधिकारियों के मुताबिक, बबन सूत्रधर (48) राजद्रोह और आतंकवाद समेत अन्य मामलों में वांछित था. उसे सुबह मयूरेश्वर पुलिस थाना क्षेत्र से पकड़ा गया. वह पिछले एक दशक से भी अधिक समय से फरार चल रहा था. उन्होंने बताया कि बबन एक दशक से अधिक समय से फरार था और हाल ही में अपने गांव लौटा है.

अधिकारियों ने कहा कि एक गुप्त सूचना पर कार्रवाई करते हुए रामपुरहाट के उप-विभागीय पुलिस अधिकारी (एसडीपीओ) धीमान मित्रा के नेतृत्व में पुलिस की एक टीम ने उस घर को घेर लिया जहां वह छिपा हुआ था और उसे गिरफ्तार कर लिया.

उन्होंने बताया कि उसके कब्जे से कुछ हथियार भी जब्त किये गये. रामपुरहाट उपमंडलीय विशेष अदालत ने बबन सूत्रधर को पांच दिन की पुलिस हिरासत में भेज दिया है.

ये भी पढ़ें :

* बिहार : सीतामढ़ी में पुलिस ने महिला पर बरसाए ताबड़तोड़ डंडे, VIDEO देख फूटा लोगों का गुस्सा

* वाराणसी पुलिस ने आईआईटी छात्रा से गैंगरेप मामले में तीन को किया गिरफ्तार

* राम मंदिर निर्माण के लिए दान के नाम पर QR कोड के जरिए ठगी, VHP ने किया सावधान"
NDTV,01/01/24,महाराष्ट्र: पालघर में बच्ची के साथ दुष्कर्म करने वाले ट्रक चालक को 20 साल की जेल,https://ndtv.in/india/maharashtra-truck-driver-who-raped-girl-in-palghar-gets-20-years-jail-4777781,"महाराष्ट्र (Maharashtra) के पालघर जिले की एक अदालत ने सात साल की एक बच्ची के साथ दुष्कर्म के मामले में दोषी पाए गए ट्रक चालक को 20 साल के कठोर कारावास की सजा सुनाई है. यह मामला पांच साल पुराना है. वसई के जिला एवं अतिरिक्त सत्र न्यायाधीश एस वी खोंगल ने शनिवार को अपने आदेश में दोषी ट्रक चालक (38) पर 5,000 रुपये का जुर्माना भी लगाया. विशेष लोक अभियोजक जयप्रकाश पाटिल ने अदालत को बताया कि ट्रक चालक और बच्ची का परिवार वसई में पड़ोसी थे. पाटिल ने अदालत को बताया कि ट्रक चालक 13 मई, 2018 को टीवी दिखाने के बहाने बच्ची और उसके भाई को अपने घर लाया. इसके बाद उसने उसके भाई को बाहर भेज दिया और लड़की का यौन उत्पीड़न किया.

न्यायाधीश ने कहा कि अभियोजन पक्ष ने ट्रक चालक के खिलाफ सभी आरोपों को सफलतापूर्वक साबित कर दिया है और उसे यौन अपराधों से बच्चों का संरक्षण (पॉक्सो) अधिनियम के तहत दोषी ठहराया है.

अदालत ने ट्रक चालक को 20 साल के कठोर कारावास की सजा सुनाई, साथ ही यह भी कहा कि बच्ची के परिवार को इस दौरान बहुत कष्ट सहना पड़ा.

ये भी पढ़ें :

* बिहार : सीतामढ़ी में पुलिस ने महिला पर बरसाए ताबड़तोड़ डंडे, VIDEO देख फूटा लोगों का गुस्सा

* वाराणसी पुलिस ने आईआईटी छात्रा से गैंगरेप मामले में तीन को किया गिरफ्तार

* राम मंदिर निर्माण के लिए दान के नाम पर QR कोड के जरिए ठगी, VHP ने किया सावधान"
