outlet,date,headline,url
NDTV,2025-01,Fresh Protests In Karnataka Over Attack On Bus Conductor In Belagavi,https://www.ndtv.com/india-news/fresh-protests-in-karnataka-over-attack-on-bus-conductor-in-belagavi-rakshana-vedike-7791038#pfrom=home-ndtv_mainnavigation
NDTV,2025-01,"Upset Over Fight With Husband, Woman Beats 3 Children, Throws Them Into Well",https://www.ndtv.com/india-news/upset-over-fight-with-husband-bihar-woman-beats-3-children-throws-them-into-well-in-samastipur-7790754#pfrom=home-ndtv_mainnavigation
NDTV,2025-01,Now Punjab's AAP Government Uses 'Bulldozer Justice' Against Drug Mafia,https://www.ndtv.com/india-news/now-punjabs-aap-government-uses-bulldozer-justice-against-drug-mafia-7790675#pfrom=home-ndtv_mainnavigation
NDTV,2025-01,Anti-Sikh Riots Case: Timeline Of Sajjan Kumar's Conviction,https://www.ndtv.com/india-news/anti-sikh-riots-case-timeline-of-sajjan-kumars-conviction-7790634#pfrom=home-ndtv_mainnavigation
NDTV,2025-01,Tamil vs Hindi: Why The Tussle Over NEP Won't Die,https://www.ndtv.com/opinion/tamil-vs-hindi-why-the-tussle-over-nep-wont-die-7790610#pfrom=home-ndtv_mainnavigation
NDTV,2025-01,"Committed To Closer Ties With India, Says Justin Trudeau Amid Row",https://www.ndtv.com/india-news/india-canada-news-khalistani-terrorist-hardeep-singh-nijjar-were-very-serious-aboutjustin-trudeau-on-ties-with-india-amid-row-4433840#pfrom=home-ndtv_
NDTV,2025-01,"In Avoiding Repeat Of Telangana, BJP Pays Price In Tamil Nadu",https://www.ndtv.com/opinion/lessons-for-bjp-from-telangana-to-tamil-nadu-4433458#pfrom=home-ndtv_
NDTV,2025-01,"Man Complains Of Stomach Pain For Years, Doctors Find This Inside His Body",https://www.ndtv.com/india-news/rakhis-earphones-screws-among-100-items-pulled-from-punjab-mans-stomach-4433880#pfrom=home-ndtv_
NDTV,2025-01,"""They Can Speak For..."": US On India's Response On Canada's Allegations",https://www.ndtv.com/world-news/what-us-said-on-indias-response-on-canadas-allegations-4433791#pfrom=home-ndtv_
NDTV,2025-01,"NIA To Probe Suspected Kuki Militant 'Tiger' Who Claimed Attack On CRPF, Burned Homes In Manipur",https://www.ndtv.com/india-news/nia-to-probe-suspected-kuki-militant-who-claimed-attack-on-crpf-burned-homes-in-manipur-7373133
NDTV,2025-01,Zelenskiy Says Trump Will Be Alongside Ukraine's Effort To Stop Russia,https://www.ndtv.com/world-news/zelenskiy-says-trump-will-be-alongside-ukraines-effort-to-stop-russia-7374280
NDTV,2025-01,"World Greets 2025 After Sweltering Year Of Olympics, Turmoil And Trump",https://www.ndtv.com/world-news/world-greets-2025-after-sweltering-year-of-olympics-turmoil-and-donald-trump-7374314
NDTV,2025-01,Power Grid Collapse Leaves Puerto Rico In Dark On New Year's Eve,https://www.ndtv.com/world-news/power-grid-collapse-leaves-puerto-rico-in-dark-on-new-years-eve-7374340
NDTV,2025-01,"Many Injured In Knife Attack In Germany On New Year's Eve, Suspect Arrested",https://www.ndtv.com/world-news/new-years-eve-2024-berlin-many-injured-in-knife-attack-in-germany-on-new-years-eve-suspect-arrested-7374344
NDTV,2025-01,Israel Confirms Killing Hamas Commander Who Led October 7 Kibbutz Nir Oz Attack,https://www.ndtv.com/world-news/israel-confirms-killing-hamas-commander-who-led-october-7-kibbutz-nir-oz-attack-7374346
NDTV,2025-01,Will Execute Ex-President's Arrest Warrant Within Deadline: S. Korea Probe Team,https://www.ndtv.com/world-news/south-korea-probe-team-say-they-will-execute-ex-president-yoon-suk-yeols-arrest-warrant-within-deadline-7374348
NDTV,2025-01,US Cops Identify Woman Burned To Death In New York Subway,https://www.ndtv.com/world-news/us-cops-identify-woman-burned-to-death-in-new-york-subway-7374350
NDTV,2025-01,"US Sanctions Entities In Iran, Russia Over Attempted Election Interference",https://www.ndtv.com/world-news/us-sanctions-entities-in-iran-russia-over-attempted-election-interference-7374378
NDTV,2025-01,"EPFO, UPI, GST And Visa: These Things Will Change Starting January 1, 2025",https://www.ndtv.com/india-news/epfo-upi-gst-and-visa-these-things-will-change-starting-january-1-2025-7374407
NDTV,2025-01,"China Extends Reduced Visa Fee Till December 31, 2025",https://www.ndtv.com/world-news/china-extends-reduced-visa-fee-till-december-31-2025-7374457
NDTV,2025-01,"On New Year, France's Macron Admits Calling Early Elections Backfired",https://www.ndtv.com/world-news/on-new-year-frances-macron-admits-calling-early-elections-backfired-7374471
NDTV,2025-01,"India Rings In 2025 With Fireworks, Grand Celebrations Across Major Cities",https://www.ndtv.com/india-news/india-rings-in-2025-with-fireworks-grand-celebrations-across-major-cities-7374475
NDTV,2025-01,"CBSE Boards 2025: Practical Exams Begin Today, Check Important Guidelines",https://www.ndtv.com/education/cbse-boards-2025-practical-exams-begin-today-check-important-guidelines-7374535
NDTV,2025-01,"""I'm Hit, Going Down"": Ukraine Drone Destroys Russian Chopper For First Time",https://www.ndtv.com/world-news/ukraine-drone-destroys-russian-helicopter-for-first-time-im-hit-going-down-7374538
NDTV,2025-01,"2 Teenagers Stabbed During New Year's Eve Celebrations In Sydney, Melbourne",https://www.ndtv.com/world-news/2-teenagers-stabbed-during-new-years-eve-celebrations-in-sydney-melbourne-7374539
NDTV,2025-01,China's 5G Military Leap: Could This Change Warfare Forever?,https://www.ndtv.com/world-news/chinas-5g-military-leap-could-this-change-warfare-forever-7374561
NDTV,2025-01,"Gautam Gambhir, Rohit Sharma To Be Grilled By BCCI. R Ashwin's Shock Retirement A Big Topic: Report",https://sports.ndtv.com/australia-vs-india-2024-25/gautam-gambhir-rohit-sharma-to-be-grilled-by-bcci-r-ashwins-shock-retirement-a-big-topic-report-7374610
NDTV,2025-01,US States To Roll Out New Gun Laws Starting Today,https://www.ndtv.com/world-news/us-states-to-roll-out-new-gun-laws-starting-today-7374649
NDTV,2025-01,"Atishi Says Lt Governor Ordered Demolition Of Hindu Temples, He Responds",https://www.ndtv.com/india-news/atishi-says-lt-governor-ordered-demolition-of-hindu-temples-he-responds-7374677
NDTV,2025-01,"Explainer: Ukraine Ends Transit Of Russian Gas To EU, What Happens Next?",https://www.ndtv.com/world-news/explainer-ukraine-ends-transit-of-russian-gas-to-eu-what-happens-next-7374691
NDTV,2025-01,"Happy New Year 2025: President Droupadi Murmu, PM Modi Extend New Year Greetings",https://www.ndtv.com/india-news/happy-new-year-2025-president-droupadi-murmu-pm-modi-extend-new-year-greetings-7374696
