outlet,date,headline,url
NDTV,01/01/24,"पंजाब: पीएचडी और चार मास्टर डिग्री, फिर भी घर चलाने के लिए बेचनी पड़ रही सब्जियां",https://ndtv.in/india/punjab-phd-and-four-masters-degree-still-have-to-sell-vegetables-to-make-ends-meet-4777299
NDTV,01/01/24,"Painful Surgeries, Passing Notes: How Israel Siblings Survived Hamas Captivity",https://www.ndtv.com/world-news/painful-surgeries-passing-notes-how-israel-siblings-survived-hamas-captivity-4777328
NDTV,01/01/24,Expelled BJP Leader Arrested For Allegedly Raping Minor In Uttarakhand,https://www.ndtv.com/india-news/expelled-bjp-leader-arrested-for-allegedly-raping-minor-in-uttarakhand-4777414
NDTV,01/01/24,"WELCOME 2024: नए साल का देश और दुनिया में जोरदार स्वागत, जश्न में डूबे लोग",https://ndtv.in/india/new-year-2024-new-year-celebration-in-the-country-and-the-world-people-celebrating-in-their-own-way-4777419
NDTV,01/01/24,Police Arrest 3 More Over Alleged German Cologne Cathedral Attack Plot,https://www.ndtv.com/world-news/police-arrest-3-more-over-alleged-german-cologne-cathedral-attack-plot-4777528
NDTV,01/01/24,"बिहार:  नीतीश कुमार ने अपनी संपत्ति का दिया विवरण, इन मंत्रियों ने भी की घोषणा",https://ndtv.in/india/bihar-nitish-kumar-gave-details-of-his-assets-these-ministers-also-declared-4777638
NDTV,01/01/24,"अयोध्या नगरी सहिष्णु, सभी परिस्थितियों में मेहमानों का स्वागत करती है: इकबाल अंसारी",https://ndtv.in/india/ayodhya-city-tolerant-welcomes-guests-in-all-circumstances-iqbal-ansari-4777674
NDTV,01/01/24,उत्तराखंड में बाहरी व्यक्तियों के कृषि एवं उद्यान के लिए जमीन खरीदने पर अंतरिम रोक,https://ndtv.in/india/uttarakhand-interim-ban-on-outsiders-purchasing-land-for-agriculture-and-gardening-4777702
NDTV,01/01/24,पश्चिम बंगाल: माओवादी गतिविधियों से संबंधित मामलों में वांछित व्यक्ति बीरभूम में गिरफ्तार,https://ndtv.in/india/west-bengal-man-wanted-in-cases-related-to-maoist-activities-arrested-in-birbhum-4777753
NDTV,01/01/24,महाराष्ट्र: पालघर में बच्ची के साथ दुष्कर्म करने वाले ट्रक चालक को 20 साल की जेल,https://ndtv.in/india/maharashtra-truck-driver-who-raped-girl-in-palghar-gets-20-years-jail-4777781
NDTV,01/01/24,"Happy New Year 2024: Wishes, Messages, Facebook And WhatsApp Status",https://www.ndtvprofit.com/trending/happy-new-year-2024-wishes-messages-facebook-and-whatsapp-status-npc
NDTV,01/01/24,Stock Market Today: All You Need To Know Going Into Trade On Jan. 1,https://www.ndtvprofit.com/markets/stock-market-today-all-you-need-to-know-going-into-trade-on-jan-1
NDTV,01/01/24,"Stocks To Watch: Grasim, Dr Reddy’s, ACC, Torrent Power, SKF India, Nazara Tech, Hikal, Aditya Birla Capital",https://www.ndtvprofit.com/markets/stocks-to-watch-grasim-dr-reddys-acc-torrent-power-skf-india-nazara-tech-hikal-aditya-birla-capital
NDTV,01/01/24,"हमने जो रास्ता चुना है, उसके लिए जेल जाना पड़ेगा : AAP कार्यकर्ताओं से बोले अरविंद केजरीवाल",https://ndtv.in/india/we-will-have-to-go-to-jail-for-the-path-we-have-chosen-arvind-kejriwal-4778206
NDTV,01/01/24,"In New Year Message, Ukraine's Zelensky Vows To Wreak ""Wrath"" Against Russia",https://www.ndtv.com/world-news/in-new-year-message-ukraines-zelensky-vows-to-wreak-wrath-against-russia-4778232
NDTV,01/01/24,"Will ""Annihilate"" US, South Korea If Confronted: Kim Jong Un",https://www.ndtv.com/world-news/war-with-south-korea-becoming-reality-because-of-us-says-kim-jong-un-4778233
NDTV,01/01/24,"ओडिशा में चार दुर्घटनाओं में दो लोगों की मौत, 70 से अधिक घायल",https://ndtv.in/india/odisha-two-killed-more-than-70-injured-in-four-accidents-4778322
NDTV,01/01/24,ISRO ब्लैक होल का अध्ययन करने वाले उपग्रह XPoSAT को आज करेगा लॉन्‍च,https://ndtv.in/india/isro-will-launch-xposat-a-satellite-to-study-black-holes-today-4778406
NDTV,01/01/24,"नए साल पर अपना फोन खंगाल रहे थे अजय देवगन, शेयर कीं कुछ खूबसूरत पुरानी यादें",https://ndtv.in/bollywood/ajay-devgn-was-digging-in-his-phone-gallery-on-new-year-eve-shared-old-photos-4778409
NDTV,01/01/24,"Opinion: 2024 Is Poised To Be A Year Of Renewal, And Let Us Celebrate That",https://www.ndtv.com/opinion/2024-is-poised-to-be-a-year-of-renewal-and-let-us-celebrate-that-4778437
NDTV,01/01/24,Treasuries Post First Gain Since 2020 As Fed Pivot Gets Traction,https://www.ndtvprofit.com/markets/treasuries-post-first-gain-since-2020-as-fed-pivot-gets-traction
NDTV,01/01/24,"Stock Market Holidays 2024: Full List Of BSE, NSE Trading Holidays",https://www.ndtvprofit.com/markets/stock-market-holidays-2024-full-list-of-bse-nse-trading-holidays-npc
NDTV,01/01/24,"After 60-Foot Bridge And Train Engine, Entire Pond 'Stolen' In Bihar",https://www.ndtv.com/india-news/entire-pond-stolen-in-bihar-darbhanga-district-by-land-mafia-pond-filled-hut-constructed-4778463
NDTV,01/01/24,"Petrol-Diesel Price: नए साल के मौके पर पेट्रोल-डीजल कहां हुआ सस्ता, कहां महंगा... जानें ताजा भाव",https://ndtv.in/utility-news/petrol-and-diesel-price-today-1-january-2024-check-petrol-diesel-rate-in-delhi-mumbai-chennai-bangalore-and-other-cities-4778489
NDTV,01/01/24,"2024 Is Poised To Be A Year Of Renewal, And Let Us Celebrate That",https://www.ndtvprofit.com/opinion/2024-is-poised-to-be-a-year-of-renewal-and-let-us-celebrate-that
NDTV,01/01/24,Currency Traders Play With Fire As Rupee Stability Spurs Riskier Options,https://www.ndtvprofit.com/economy-finance/currency-traders-play-with-fire-as-rupee-stability-spurs-riskier-options
NDTV,01/01/24,"U.S. Consumer Debt Just Returning To Normal Levels, Bernstein Says",https://www.ndtvprofit.com/global-economics/us-consumer-debt-just-returning-to-normal-levels-jared-bernstein-says
NDTV,01/01/24,Lagarde Says Euro Gives Greater Sovereignty In A Turbulent World,https://www.ndtvprofit.com/global-economics/lagarde-says-euro-gives-greater-sovereignty-in-a-turbulent-world
NDTV,01/01/24,Ireland’s Finance Minister Predicts Strong Economy In 2024,https://www.ndtvprofit.com/global-economics/ireland-s-mcgrath-predicts-strong-economy-in-2024
NDTV,01/01/24,Xi Vows To Strengthen Economic Recovery After ‘Tough’ Year,https://www.ndtvprofit.com/politics/xi-pledges-to-strengthen-economic-recovery-after-tough-year
NDTV,01/01/24,"NLC India Aims To Become A 17 GW Company By 2030, Says Chairman",https://www.ndtvprofit.com/business/nlc-india-aims-to-become-a-17-gw-company-by-2030-says-chairman
NDTV,01/01/24,"2023’s Economy Will Be Hard To Top, But 2024’s Just Might",https://www.ndtvprofit.com/opinion/us-economy-2023-will-be-hard-to-top-but-2024-could-do-it
NDTV,01/01/24,जर्मन कोलोन कैथेड्रल हमले की साजिश में पुलिस ने 3 आरोपियों को किया गिरफ्तार,https://ndtv.in/india/police-arrested-3-accused-in-the-conspiracy-of-german-cologne-cathedral-attack-4778569
NDTV,01/01/24,Man Industries Bets On 'Tremendous' Growth On Expected Hydrogen Boom,https://www.ndtvprofit.com/business/man-industries-bets-on-tremendous-growth-on-expected-hydrogen-boom
NDTV,01/01/24,"Valuations Not In Favour Right Now, Says Ajay Tyagi Of UTI AMC",https://www.ndtvprofit.com/markets/valuations-not-in-favour-right-now-says-ajay-tyagi-of-uti-amc
NDTV,01/01/24,रवीना टंडन की 'कर्मा कॉलिंग' से लेकर 'इंडियन पुलिस फोर्स' तक जनवरी में आएंगी ये धांसू वेब सीरीज,https://ndtv.in/bollywood/from-raveena-tandon-karmma-calling-to-fool-me-once-you-will-get-to-see-these-web-series-in-january-4778570
NDTV,01/01/24,"US Sinks Houthi Boats After Red Sea Attack, 10 Rebels Killed",https://www.ndtv.com/world-news/us-sinks-3-ships-kills-10-in-response-to-houthi-red-sea-attack-4778571
NDTV,01/01/24,"""केवल उन्हीं को निमंत्रण, जो.."": उद्धव ठाकरे की निमंत्रण नहीं मिलने की टिप्पणी पर राम मंदिर के मुख्य पुजारी",https://ndtv.in/india/uddhav-thackeray-acharya-satyendra-das-ram-mandir-invitation-4778572
NDTV,01/01/24,How Incred's Aditya Khemka Builds His Portfolio Of Healthcare Stocks,https://www.ndtvprofit.com/markets/how-increds-aditya-khemka-builds-his-portfolio-of-healthcare-stocks
NDTV,01/01/24,China Home Sales Fall Again As Policy Shifts Fail To Stem Decline,https://www.ndtvprofit.com/global-economics/china-home-sales-fall-again-as-policy-shifts-fail-to-stem-decline
NDTV,01/01/24,Macron Pushes For Economic ‘Rearmament’ To Reach Full Employment,https://www.ndtvprofit.com/global-economics/macron-pushes-for-economic-rearmament-to-reach-full-employment
NDTV,01/01/24,"साल 2024 में भी शेयर बाजार में रिकॉर्ड तेजी रहेगा जारी, सेंसेक्स-निफ्टी में 7% तक उछाल की उम्मीद",https://ndtv.in/india/new-year-2024-record-gains-will-continue-in-stock-market-sensex-nifty-expected-to-rise-by-7-percent-4778600
NDTV,01/01/24,From Sydney To Gaza: How The World Welcomed 2024,https://www.ndtv.com/world-news/from-sydney-to-gaza-how-the-world-welcomed-2024-4778626
NDTV,01/01/24,"""May This Year Bring..."": PM Modi's New Year Greetings To Nation",https://www.ndtv.com/india-news/may-this-year-bring-pm-modis-new-year-greetings-to-nation-4778627
NDTV,01/01/24,"David Warner Retires From ODIs, Says ""Will Play Champions Trophy If...""",https://sports.ndtv.com/cricket/david-warner-retires-from-odis-says-will-play-champions-trophy-if-4778654
NDTV,01/01/24,Shri Karanpur Assembly: मंत्री सुरेंद्रपाल सिंह टीटी को चुनाव के लिए अयोग्य घोषित करने के लिए निर्वाचन आयोग से मिला कांग्रेस प्रतिनिधिमंडल,https://rajasthan.ndtv.in/rajasthan-news/shri-karanpur-assembly-congress-alliance-was-elected-from-the-election-commission-to-declare-minister-surendrapal-singh-tt-elected-4778655
NDTV,01/01/24,"Weather News: एमपी में 7.6 डिग्री सेल्सियस तक गिरा पारा, अभी कोहरे से राहत के नहीं है आसार",https://mpcg.ndtv.in/madhya-pradesh-news/madhya-pradesh-weather-update-temprature-dropped-to-7-6-degrees-celsius-in-madhya-pradesh-no-relief-from-fog-as-of-now-4778684
NDTV,01/01/24,"Stock Market Live: Sensex, Nifty Open Flat As ICICI Bank, RIL Gain; L&T, Axis Bank Weigh",https://www.ndtvprofit.com/markets/stock-market-live-jan-1-2024-gift-nifty-trades-above-21700-grasim-acc-dr-reddys-lab-in-focus
NDTV,01/01/24,"Madhya Pradesh Principal Attacked Over Witchcraft Allegations, Probe On",https://www.ndtv.com/india-news/madhya-pradesh-principal-attacked-over-witchcraft-allegations-probe-on-4778691
NDTV,01/01/24,"""सभी के जीवन में समृद्धि..."": प्रधानमंत्री मोदी ने देशवासियों को दी नव वर्ष की शुभकामनाएं",https://ndtv.in/india/pm-narendra-modi-wished-the-a-happy-new-year-to-country-4778720
NDTV,01/01/24,"डेविड वॉर्नर ने टेस्ट के बाद अब वनडे क्रिकेट से भी लिया संन्यास, साल 2024 के पहले दिन फैन्स को चौंकाया",https://sports.ndtv.com/hindi/cricket/david-warner-has-announced-his-retirement-from-odi-cricket-4778723
NDTV,01/01/24,"नए साल में कपूर से जुड़े ये उपाय करने से घर में आएगी सुख-समृद्धि , नेगेटिव एनर्जी रहेगी दूर",https://ndtv.in/faith/new-year-2024-kapor-ke-totke-upay-how-to-keep-away-negative-energy-at-home-4778724
NDTV,01/01/24,"'फिर चांद पर इंसान', '100 साल बाद फ्रांस में ओलंपिक...' 2024 में दुनिया में क्या-क्या होगा नया",https://mpcg.ndtv.in/india/first-woman-on-the-moon-olympics-in-france-after-100-years-new-will-happen-in-the-world-in-2024-4778752
NDTV,01/01/24,"नए साल में 'आर या पार' के मूड में है कांग्रेस, जानिए 2024 आम चुनाव के लिए क्या है पार्टी की तैयारी?",https://rajasthan.ndtv.in/rajasthan-news/congress-is-in-the-mood-of-aar-ya-paar-in-the-new-year-know-what-are-the-preparations-of-the-party-for-2024-general-elections-4778782
NDTV,01/01/24,"रूस के हवाई हमले के 72 घंटे  बाद यूक्रेन के राष्ट्रपति ने किया पलटवार, कहा- रूस का मनोबल तोड़ने का प्रयास",https://ndtv.in/india/72-hours-after-russias-air-strike-ukraines-president-hit-back-said-russia-is-trying-to-break-morale-4778783
NDTV,01/01/24,"Dunki Box Office Collection Day 11: शाहरुख खान की फिल्म के लिए अच्छा रहा 2023 का आखिरी दिन, कमाए इतने करोड़",https://ndtv.in/bollywood/dunki-box-office-collection-day-11-shahrukh-khan-film-earns-a-good-amount-on-last-day-of-2023-here-is-the-report-4778846
